review_status,company_name,website,vc_source,funding_stage,industry,discovery_source,post_text,stakeholder_name,stakeholder_email,email_source_url,email_subject,email_body
pending,Raadhuis,https://www.raadhuis.com,Newion,seed,software saas,portfolio_page,,,info@raadhuis.com,https://raadhuis.com,Branding opportunity — Raadhuis × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching SaaS companies, I came across
    <strong>Raadhuis</strong> —
    great to see the backing from Newion.
    Your SaaS product is solid, but your visual identity doesn&#39;t yet match the quality of what you&#39;ve built — and that gap costs you at every enterprise demo and investor conversation.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for Raadhuis.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because Raadhuis appeared in our research on
    SaaS companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,Approach,https://www.henq.vc,Henq Ventures,seed,b2b saas,portfolio_page,,,hello@henq.vc,pattern-based,Branding opportunity — Approach × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching SaaS companies, I came across
    <strong>Approach</strong> —
    great to see the backing from Henq Ventures.
    Your SaaS product is solid, but your visual identity doesn&#39;t yet match the quality of what you&#39;ve built — and that gap costs you at every enterprise demo and investor conversation.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for Approach.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because Approach appeared in our research on
    SaaS companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,BuroHenk,https://www.burohenk.nl,Henq Ventures,seed,b2b saas,portfolio_page,,,henk@burohenk.nl,https://burohenk.nl,Branding opportunity — BuroHenk × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching SaaS companies, I came across
    <strong>BuroHenk</strong> —
    great to see the backing from Henq Ventures.
    Your SaaS product is solid, but your visual identity doesn&#39;t yet match the quality of what you&#39;ve built — and that gap costs you at every enterprise demo and investor conversation.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for BuroHenk.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because BuroHenk appeared in our research on
    SaaS companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,AWINK,https://www.awink.nl,Henq Ventures,seed,b2b saas,portfolio_page,,,wink@awink.nl,https://awink.nl,Branding opportunity — AWINK × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching SaaS companies, I came across
    <strong>AWINK</strong> —
    great to see the backing from Henq Ventures.
    Your SaaS product is solid, but your visual identity doesn&#39;t yet match the quality of what you&#39;ve built — and that gap costs you at every enterprise demo and investor conversation.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for AWINK.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because AWINK appeared in our research on
    SaaS companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,Wellhub,http://www.wellhub.com,Inkef Capital,seed,healthtech life sciences,portfolio_page,,,press@wellhub.com,https://wellhub.com,Branding opportunity — Wellhub × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching healthcare technology companies, I came across
    <strong>Wellhub</strong> —
    great to see the backing from Inkef Capital.
    Your health solution is solid, but your digital presence underrepresents the quality of care you deliver, which can slow trust-building with both patients and institutional partners.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for Wellhub.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because Wellhub appeared in our research on
    healthcare technology companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,European Cyber Tech Fund V,https://www.tincapital.vc,TIIN Capital,seed,technology,portfolio_page,,,info@tincapital.vc,https://tincapital.vc,Branding opportunity — European Cyber Tech Fund V × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching technology companies, I came across
    <strong>European Cyber Tech Fund V</strong> —
    great to see the backing from TIIN Capital.
    Your product is solid, but we believe there&#39;s a meaningful opportunity to strengthen your visual identity and messaging to match the quality of your underlying business.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for European Cyber Tech Fund V.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because European Cyber Tech Fund V appeared in our research on
    technology companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,Snyk,http://www.snyk.com,TIIN Capital,seed,technology,portfolio_page,,,hello@snyk.com,pattern-based,Branding opportunity — Snyk × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching technology companies, I came across
    <strong>Snyk</strong> —
    great to see the backing from TIIN Capital.
    Your product is solid, but we believe there&#39;s a meaningful opportunity to strengthen your visual identity and messaging to match the quality of your underlying business.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for Snyk.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because Snyk appeared in our research on
    technology companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,aim,https://www.aim.nu,Borski Fund,seed,female-led technology,portfolio_page,,,info@aim.nu,https://aim.nu,Branding opportunity — aim × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching technology companies, I came across
    <strong>aim</strong> —
    great to see the backing from Borski Fund.
    Your product is solid, but we believe there&#39;s a meaningful opportunity to strengthen your visual identity and messaging to match the quality of your underlying business.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for aim.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because aim appeared in our research on
    technology companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,Nomads,https://www.nomads.vc,Hummingbird VC,seed,consumer saas marketplace,portfolio_page,,,hello@nomads.vc,https://nomads.vc,Branding opportunity — Nomads × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching SaaS companies, I came across
    <strong>Nomads</strong> —
    great to see the backing from Hummingbird VC.
    Your SaaS product is solid, but your visual identity doesn&#39;t yet match the quality of what you&#39;ve built — and that gap costs you at every enterprise demo and investor conversation.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for Nomads.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because Nomads appeared in our research on
    SaaS companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
pending,Cookiebot,https://www.cookiebot.com,LocalGlobe,seed,consumer saas marketplace,portfolio_page,,,hello@cookiebot.com,pattern-based,Branding opportunity — Cookiebot × Dõlmen Studios,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head>
<body style=""font-family: Georgia, 'Times New Roman', serif; max-width: 600px;
             margin: 0 auto; color: #1a1a1a; line-height: 1.75; padding: 24px;"">

  <p>Hello there,</p>

  <p>
    I'm Soufyan, Strategic Branding Manager at <strong>Dõlmen Studios</strong>.
  </p>

  <p>
    At Dõlmen, we help companies through brand strategy and design with a strong focus
    on performance &amp; human connections — so they don't just look good, but actively
    drive business metrics such as leads, conversions, investment, and strategic partnerships.
  </p>

  <p>
    We've collaborated with companies such as Nike on strategic branding projects.
    If you'd like to see how we approach this work, you can find some of our most relevant
    case studies on
    <a href=""https://www.dolmenstudios.com"" style=""color: #2b5797; text-decoration: none;"">our website</a>.
  </p>

  <p>
    While researching SaaS companies, I came across
    <strong>Cookiebot</strong> —
    great to see the backing from LocalGlobe.
    Your SaaS product is solid, but your visual identity doesn&#39;t yet match the quality of what you&#39;ve built — and that gap costs you at every enterprise demo and investor conversation.
  </p>

  <p>
    If useful, we'd be happy to connect and offer a <strong>Free Brand Audit</strong>
    in a first video call — sharing concrete insights and specific improvement opportunities
    for Cookiebot.
  </p>

  <p>
    If that sounds good to you, just let me know what your availability looks like for next week.
  </p>

  <p style=""margin-top: 2em;"">
    Kind regards,<br>
    <strong>Soufyan</strong>
  </p>

  <hr style=""border: none; border-top: 1px solid #eee; margin-top: 2.5em;"">
  <p style=""font-size: 11px; color: #999; line-height: 1.5;"">
    You received this because Cookiebot appeared in our research on
    SaaS companies and we believe there could be a genuine fit.
    Reply STOP to opt out and we won't contact you again.
  </p>

</body>
</html>"
