Company,Website,Country,Sector,Score,Brand Problem,Decision Maker,Role,Email,LinkedIn,Best Channel,Outreach Email,Status
The Nobel Prize,https://nobelprize.org,Sweden,"non-profit organizations, award ceremony, global influence",4,It's not immediately clear what they do or who they serve.,,,here@nobelprize.org,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
Sinch,https://sinch.com,Sweden,"saas, mobile messaging, voip",5,Brand appears functional but likely lacks the strategic depth for premium positioning.,HR Service Center,,hr-support@sinch.com,,Email,"Hello HR, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case studi",🆕 New
Danish Refugee Council / Dansk Flygtningehjælp,https://drc.ngo,Denmark,"non-profit organizations, landmine risk education, food security",3,The brand appears as disconnected pieces rather than a coherent visual system. Also: the messaging doesn't position them for growth or premium clients.,Danish,,press@drc.ngo,,Email,"Hello Danish, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case s",🆕 New
Ramboll,https://ramboll.com,Denmark,"design, mechanical engineering, civil engineering",3,The website lacks clear calls-to-action and conversion pathways. Also: minimal or no visible social presence.,,,sade.rajakallio@ramboll.fi,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
FLSmidth,https://flsmidth.com,Denmark,"pumps, slurry handling, equipment for mining",4,The brand appears as disconnected pieces rather than a coherent visual system.,,,info@flsmidth.com,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
Acne Studios,https://acnestudios.com,Sweden,"fashion design, retail luxury goods & jewelry, scandinavian design",4,It's not immediately clear what they do or who they serve.,Help,,clientservices@acnestudios.com,,Email,"Hello Help, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case stu",🆕 New
Northvolt,https://northvolt.com,Sweden,"large scale battery factory, battery energy storage, battery cells",4,It's not immediately clear what they do or who they serve.,,,hi@northvolt.com,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
Danske Bank,https://danskebank.com,Denmark,"financial services, personal banking, innovation",4,It's not immediately clear what they do or who they serve.,,,danskebank@danskebank.dk,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
Swedish Armed Forces,https://forsvarsmakten.se,Sweden,"armed forces, military planning, services",3,It's not immediately clear what they do or who they serve. Also: the website lacks clear calls-to-action and conversion pathways.,,,exp-hkv@mil.se,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
Sobi - Swedish Orphan Biovitrum AB (publ),https://sobi.com,Sweden,"hematological diseases, immunology, orphan drugs",5,Brand appears functional but likely lacks the strategic depth for premium positioning.,,,info@sobi.com,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
Sigma Software Group,https://sigma.software,Sweden,"java, net development, mobile development",5,Brand appears functional but likely lacks the strategic depth for premium positioning.,,,info@sigma.software,,Email,"Hello there, I'm Soufyan, Strategic Branding Manager at Dõlmen Studios . At Dõlmen, we help companies through brand strategy and design with a strong focus on performance & human connections — so they don't just look good, but actively drive business metrics such as leads, conversions, investment, and strategic partnerships. We've collaborated with companies such as Nike on strategic branding projects. If you'd like to see how we approach this work, you can find some of our most relevant case st",🆕 New
